Symbol,DATE,CLOSE
GOLD,12 Jul 19,34407
SILVER,12 Jul 19,37733
NATURALGAS,12 Jul 19,168.2
ALUMINIUM,12 Jul 19,142.85
CRUDEOIL,12 Jul 19,4130
ZINC,12 Jul 19,191.4
NICKEL,12 Jul 19,916.7
COPPER,12 Jul 19,440.5
LEAD,12 Jul 19,155.45
COTTON,12 Jul 19,21230
GOLD,15 Jul 19,34558
SILVER,15 Jul 19,38107
NATURALGAS,15 Jul 19,165.1
ALUMINIUM,15 Jul 19,142.6
CRUDEOIL,15 Jul 19,4086
ZINC,15 Jul 19,193.5
NICKEL,15 Jul 19,940
COPPER,15 Jul 19,442.5
LEAD,15 Jul 19,155.85
COTTON,15 Jul 19,21170
GOLD,16 Jul 19,34583
SILVER,16 Jul 19,38376
NATURALGAS,16 Jul 19,158.1
ALUMINIUM,16 Jul 19,143.15
CRUDEOIL,16 Jul 19,3951
ZINC,16 Jul 19,194
NICKEL,16 Jul 19,975.8
COPPER,16 Jul 19,441.4
LEAD,16 Jul 19,154.65
COTTON,16 Jul 19,21250
GOLD,17 Jul 19,34428
SILVER,17 Jul 19,38944
NATURALGAS,17 Jul 19,158.5
ALUMINIUM,17 Jul 19,142.85
CRUDEOIL,17 Jul 19,3907
ZINC,17 Jul 19,194.35
NICKEL,17 Jul 19,983.3
COPPER,17 Jul 19,441.5
LEAD,17 Jul 19,154.1
COTTON,17 Jul 19,21350
GOLD,18 Jul 19,34709
SILVER,18 Jul 19,40076
NATURALGAS,18 Jul 19,157.5
ALUMINIUM,18 Jul 19,143.55
CRUDEOIL,18 Jul 19,3809
ZINC,18 Jul 19,196.85
NICKEL,18 Jul 19,1016.8
COPPER,18 Jul 19,442.5
LEAD,18 Jul 19,155.4
COTTON,18 Jul 19,21320
GOLD,19 Jul 19,35091
SILVER,19 Jul 19,40624
NATURALGAS,19 Jul 19,154.9
ALUMINIUM,19 Jul 19,144.9
CRUDEOIL,19 Jul 19,3829
ZINC,19 Jul 19,194.25
NICKEL,19 Jul 19,1022.3
COPPER,19 Jul 19,449.2
LEAD,19 Jul 19,156.1
COTTON,19 Jul 19,21310
GOLD,22 Jul 19,34932
SILVER,22 Jul 19,40773
NATURALGAS,22 Jul 19,159.6
ALUMINIUM,22 Jul 19,144.55
CRUDEOIL,22 Jul 19,3880
ZINC,22 Jul 19,190.7
NICKEL,22 Jul 19,998.8
COPPER,22 Jul 19,449.3
LEAD,22 Jul 19,153.25
COTTON,22 Jul 19,21290
GOLD,23 Jul 19,34852
SILVER,23 Jul 19,40772
NATURALGAS,23 Jul 19,158.7
ALUMINIUM,23 Jul 19,143.55
CRUDEOIL,23 Jul 19,3917
ZINC,23 Jul 19,191
NICKEL,23 Jul 19,996.3
COPPER,23 Jul 19,446.5
LEAD,23 Jul 19,154
COTTON,23 Jul 19,21190
GOLD,24 Jul 19,34897
SILVER,24 Jul 19,41074
NATURALGAS,24 Jul 19,153.2
ALUMINIUM,24 Jul 19,143.85
CRUDEOIL,24 Jul 19,3856
ZINC,24 Jul 19,192.65
NICKEL,24 Jul 19,993.8
COPPER,24 Jul 19,443.6
LEAD,24 Jul 19,155.4
COTTON,24 Jul 19,21340
GOLD,25 Jul 19,34943
SILVER,25 Jul 19,41075
NATURALGAS,25 Jul 19,154.8
ALUMINIUM,25 Jul 19,143.65
CRUDEOIL,25 Jul 19,3865
ZINC,25 Jul 19,193.15
NICKEL,25 Jul 19,995
COPPER,25 Jul 19,442.85
LEAD,25 Jul 19,156.5
COTTON,25 Jul 19,21290
GOLD,26 Jul 19,34781
SILVER,26 Jul 19,40811
NATURALGAS,26 Jul 19,149.8
ALUMINIUM,26 Jul 19,142.7
CRUDEOIL,26 Jul 19,3881
ZINC,26 Jul 19,192.25
NICKEL,26 Jul 19,1001.5
COPPER,26 Jul 19,440.2
LEAD,26 Jul 19,157.4
COTTON,26 Jul 19,21300
GOLD,29 Jul 19,34730
SILVER,29 Jul 19,40682
NATURALGAS,29 Jul 19,145.8
ALUMINIUM,29 Jul 19,141.6
CRUDEOIL,29 Jul 19,3918
ZINC,29 Jul 19,191.5
NICKEL,29 Jul 19,982.5
COPPER,29 Jul 19,440
LEAD,29 Jul 19,154.1
COTTON,29 Jul 19,21070
GOLD,30 Jul 19,34801
SILVER,30 Jul 19,40851
NATURALGAS,30 Jul 19,146.9
ALUMINIUM,30 Jul 19,142.65
CRUDEOIL,30 Jul 19,3991
ZINC,30 Jul 19,193.75
NICKEL,30 Jul 19,1001.3
COPPER,30 Jul 19,444.1
LEAD,30 Jul 19,154.35
COTTON,30 Jul 19,21040
GOLD,31 Jul 19,34805
SILVER,31 Jul 19,40900
NATURALGAS,31 Jul 19,153.8
ALUMINIUM,31 Jul 19,141.7
CRUDEOIL,31 Jul 19,4034
ZINC,31 Jul 19,192
NICKEL,31 Jul 19,1004.3
COPPER,31 Jul 19,442.2
LEAD,31 Jul 19,153.35
COTTON,31 Jul 19,20980
GOLD,1 Aug 19,34572
SILVER,1 Aug 19,40105
NATURALGAS,1 Aug 19,152.1
ALUMINIUM,1 Aug 19,141.25
CRUDEOIL,1 Aug 19,3726
ZINC,1 Aug 19,191.3
NICKEL,1 Aug 19,1004.5
COPPER,1 Aug 19,439.3
LEAD,1 Aug 19,152.4
COTTON,1 Aug 19,20880
GOLD,2 Aug 19,35341
SILVER,2 Aug 19,40746
NATURALGAS,2 Aug 19,147.2
ALUMINIUM,2 Aug 19,141.6
CRUDEOIL,2 Aug 19,3863
ZINC,2 Aug 19,189.35
NICKEL,2 Aug 19,1007.4
COPPER,2 Aug 19,433.5
LEAD,2 Aug 19,152.3
COTTON,2 Aug 19,20550
GOLD,5 Aug 19,36289
SILVER,5 Aug 19,42040
NATURALGAS,5 Aug 19,145.6
ALUMINIUM,5 Aug 19,141.75
CRUDEOIL,5 Aug 19,3848
ZINC,5 Aug 19,188.55
NICKEL,5 Aug 19,1068.8
COPPER,5 Aug 19,435
LEAD,5 Aug 19,153
COTTON,5 Aug 19,20060
GOLD,6 Aug 19,36463
SILVER,6 Aug 19,41830
NATURALGAS,6 Aug 19,149.3
ALUMINIUM,6 Aug 19,141.4
CRUDEOIL,6 Aug 19,3793
ZINC,6 Aug 19,188.65
NICKEL,6 Aug 19,1064.2
COPPER,6 Aug 19,432
LEAD,6 Aug 19,152.8
COTTON,6 Aug 19,19920
GOLD,7 Aug 19,37039
SILVER,7 Aug 19,42735
NATURALGAS,7 Aug 19,147.8
ALUMINIUM,7 Aug 19,141.9
CRUDEOIL,7 Aug 19,3625
ZINC,7 Aug 19,187
NICKEL,7 Aug 19,1056.1
COPPER,7 Aug 19,435
LEAD,7 Aug 19,154
COTTON,7 Aug 19,20020
GOLD,8 Aug 19,37047
SILVER,8 Aug 19,42879
NATURALGAS,8 Aug 19,150.8
ALUMINIUM,8 Aug 19,142.4
CRUDEOIL,8 Aug 19,3722
ZINC,8 Aug 19,185.95
NICKEL,8 Aug 19,1121.3
COPPER,8 Aug 19,436.9
LEAD,8 Aug 19,154.85
COTTON,8 Aug 19,20090
GOLD,9 Aug 19,37270
SILVER,9 Aug 19,43009
NATURALGAS,9 Aug 19,149.4
ALUMINIUM,9 Aug 19,142.5
CRUDEOIL,9 Aug 19,3843
ZINC,9 Aug 19,185.8
NICKEL,9 Aug 19,1112.5
COPPER,9 Aug 19,438.5
LEAD,9 Aug 19,155.5
COTTON,9 Aug 19,20100
NATURALGAS,12 Aug 19,148.4
CRUDEOIL,12 Aug 19,3874
GOLD,13 Aug 19,37799
SILVER,13 Aug 19,44111
NATURALGAS,13 Aug 19,152.9
ALUMINIUM,13 Aug 19,142.2
CRUDEOIL,13 Aug 19,4068
ZINC,13 Aug 19,186.9
NICKEL,13 Aug 19,1120
COPPER,13 Aug 19,438.5
LEAD,13 Aug 19,154.35
COTTON,13 Aug 19,20170
GOLD,14 Aug 19,37574
SILVER,14 Aug 19,43568
NATURALGAS,14 Aug 19,152.4
ALUMINIUM,14 Aug 19,142.4
CRUDEOIL,14 Aug 19,3927
ZINC,14 Aug 19,186.8
NICKEL,14 Aug 19,1138.8
COPPER,14 Aug 19,439.9
LEAD,14 Aug 19,154.15
COTTON,14 Aug 19,20240
GOLD,16 Aug 19,37466
SILVER,16 Aug 19,43624
NATURALGAS,16 Aug 19,156.8
ALUMINIUM,16 Aug 19,142.4
CRUDEOIL,16 Aug 19,3912
ZINC,16 Aug 19,184.95
NICKEL,16 Aug 19,1136.7
COPPER,16 Aug 19,438.6
LEAD,16 Aug 19,154.25
COTTON,16 Aug 19,20350
GOLD,19 Aug 19,37469
SILVER,19 Aug 19,43242
NATURALGAS,19 Aug 19,157.7
ALUMINIUM,19 Aug 19,143.9
CRUDEOIL,19 Aug 19,4010
ZINC,19 Aug 19,184.15
NICKEL,19 Aug 19,1157.2
COPPER,19 Aug 19,442.25
LEAD,19 Aug 19,154.85
COTTON,19 Aug 19,20590
GOLD,20 Aug 19,37688
SILVER,20 Aug 19,43552
NATURALGAS,20 Aug 19,158.9
ALUMINIUM,20 Aug 19,143.85
CRUDEOIL,20 Aug 19,4022
ZINC,20 Aug 19,184.4
NICKEL,20 Aug 19,1148.6
COPPER,20 Aug 19,440.1
LEAD,20 Aug 19,155.15
COTTON,20 Aug 19,20650
GOLD,21 Aug 19,37550
SILVER,21 Aug 19,43672
NATURALGAS,21 Aug 19,155.3
ALUMINIUM,21 Aug 19,144.15
CRUDEOIL,21 Aug 19,3984
ZINC,21 Aug 19,184.6
NICKEL,21 Aug 19,1149.2
COPPER,21 Aug 19,440.8
LEAD,21 Aug 19,156.4
COTTON,21 Aug 19,20700
GOLD,22 Aug 19,37668
SILVER,22 Aug 19,43629
NATURALGAS,22 Aug 19,154.8
ALUMINIUM,22 Aug 19,143.7
CRUDEOIL,22 Aug 19,3969
ZINC,22 Aug 19,184.4
NICKEL,22 Aug 19,1151.1
COPPER,22 Aug 19,434
LEAD,22 Aug 19,156.5
COTTON,22 Aug 19,20740
GOLD,23 Aug 19,37599
SILVER,23 Aug 19,43708
NATURALGAS,23 Aug 19,154.4
ALUMINIUM,23 Aug 19,144.75
CRUDEOIL,23 Aug 19,3885
ZINC,23 Aug 19,185.3
NICKEL,23 Aug 19,1148.8
COPPER,23 Aug 19,438
LEAD,23 Aug 19,157.25
COTTON,23 Aug 19,20640
GOLD,26 Aug 19,38578
SILVER,26 Aug 19,45057
NATURALGAS,26 Aug 19,160.6
ALUMINIUM,26 Aug 19,143
CRUDEOIL,26 Aug 19,3872
ZINC,26 Aug 19,183.8
NICKEL,26 Aug 19,1154.4
COPPER,26 Aug 19,434.6
LEAD,26 Aug 19,156.2
COTTON,26 Aug 19,20510
GOLD,27 Aug 19,38404
SILVER,27 Aug 19,45245
NATURALGAS,27 Aug 19,158.1
ALUMINIUM,27 Aug 19,143.5
CRUDEOIL,27 Aug 19,3945
ZINC,27 Aug 19,184.55
NICKEL,27 Aug 19,1159.5
COPPER,27 Aug 19,435
LEAD,27 Aug 19,158.3
COTTON,27 Aug 19,20530
GOLD,28 Aug 19,38795
SILVER,28 Aug 19,46572
NATURALGAS,28 Aug 19,159.3
ALUMINIUM,28 Aug 19,143.7
CRUDEOIL,28 Aug 19,4000
ZINC,28 Aug 19,184.5
NICKEL,28 Aug 19,1172.9
COPPER,28 Aug 19,440.75
LEAD,28 Aug 19,158.6
COTTON,28 Aug 19,20470
GOLD,29 Aug 19,38743
SILVER,29 Aug 19,47086
NATURALGAS,29 Aug 19,165.3
ALUMINIUM,29 Aug 19,143.15
CRUDEOIL,29 Aug 19,4083
ZINC,29 Aug 19,185.5
NICKEL,29 Aug 19,1179.8
COPPER,29 Aug 19,441.4
LEAD,29 Aug 19,159
COTTON,29 Aug 19,20450
GOLD,30 Aug 19,38405
SILVER,30 Aug 19,46688
NATURALGAS,30 Aug 19,164
ALUMINIUM,30 Aug 19,142.9
CRUDEOIL,30 Aug 19,3954
ZINC,30 Aug 19,184.5
NICKEL,30 Aug 19,1224.2
COPPER,30 Aug 19,440.05
LEAD,30 Aug 19,158.85
COTTON,30 Aug 19,20400
GOLD,3 Sep 19,39007
SILVER,3 Sep 19,47977
NATURALGAS,3 Sep 19,170.2
ALUMINIUM,3 Sep 19,142.3
CRUDEOIL,3 Sep 19,3894
ZINC,3 Sep 19,183.65
NICKEL,3 Sep 19,1330.6
COPPER,3 Sep 19,430.2
LEAD,3 Sep 19,155.75
COTTON,3 Sep 19,20130
GOLD,4 Sep 19,39011
SILVER,4 Sep 19,49846
NATURALGAS,4 Sep 19,176.2
ALUMINIUM,4 Sep 19,143.25
CRUDEOIL,4 Sep 19,4055
ZINC,4 Sep 19,184.2
NICKEL,4 Sep 19,1331.6
COPPER,4 Sep 19,439.1
LEAD,4 Sep 19,157.35
COTTON,4 Sep 19,20080
GOLD,5 Sep 19,39006
SILVER,5 Sep 19,49593
NATURALGAS,5 Sep 19,175
ALUMINIUM,5 Sep 19,144.65
CRUDEOIL,5 Sep 19,4046
ZINC,5 Sep 19,190.3
NICKEL,5 Sep 19,1299.4
COPPER,5 Sep 19,447.4
LEAD,5 Sep 19,158.5
COTTON,5 Sep 19,20000
GOLD,6 Sep 19,38185
SILVER,6 Sep 19,46935
NATURALGAS,6 Sep 19,179
ALUMINIUM,6 Sep 19,143.55
CRUDEOIL,6 Sep 19,4054
ZINC,6 Sep 19,188.7
NICKEL,6 Sep 19,1292.7
COPPER,6 Sep 19,447
LEAD,6 Sep 19,156.65
COTTON,6 Sep 19,20010
GOLD,9 Sep 19,38254
SILVER,9 Sep 19,46905
NATURALGAS,9 Sep 19,185.1
ALUMINIUM,9 Sep 19,144.2
CRUDEOIL,9 Sep 19,4141
ZINC,9 Sep 19,187.2
NICKEL,9 Sep 19,1289.9
COPPER,9 Sep 19,444.35
LEAD,9 Sep 19,157.1
COTTON,9 Sep 19,19850
NATURALGAS,10 Sep 19,184.7
CRUDEOIL,10 Sep 19,4109
GOLD,11 Sep 19,37902
SILVER,11 Sep 19,46814
NATURALGAS,11 Sep 19,182.9
ALUMINIUM,11 Sep 19,145.95
CRUDEOIL,11 Sep 19,3995
ZINC,11 Sep 19,190.2
NICKEL,11 Sep 19,1317
COPPER,11 Sep 19,448.5
LEAD,11 Sep 19,157.95
COTTON,11 Sep 19,19970
GOLD,12 Sep 19,37669
SILVER,12 Sep 19,46601
NATURALGAS,12 Sep 19,183.6
ALUMINIUM,12 Sep 19,145.3
CRUDEOIL,12 Sep 19,3929
ZINC,12 Sep 19,190.55
NICKEL,12 Sep 19,1321.7
COPPER,12 Sep 19,449.1
LEAD,12 Sep 19,156.5
COTTON,12 Sep 19,20030
GOLD,13 Sep 19,37592
SILVER,13 Sep 19,46250
NATURALGAS,13 Sep 19,185.4
ALUMINIUM,13 Sep 19,144.55
CRUDEOIL,13 Sep 19,3891
ZINC,13 Sep 19,187.7
NICKEL,13 Sep 19,1298.3
COPPER,13 Sep 19,448.5
LEAD,13 Sep 19,159
COTTON,13 Sep 19,20120
GOLD,16 Sep 19,37780
SILVER,16 Sep 19,45859
NATURALGAS,16 Sep 19,191.8
ALUMINIUM,16 Sep 19,144.35
CRUDEOIL,16 Sep 19,4500
ZINC,16 Sep 19,190.65
NICKEL,16 Sep 19,1283
COPPER,16 Sep 19,451.2
LEAD,16 Sep 19,160
COTTON,16 Sep 19,20170
GOLD,17 Sep 19,37855
SILVER,17 Sep 19,46114
NATURALGAS,17 Sep 19,191.6
ALUMINIUM,17 Sep 19,144
CRUDEOIL,17 Sep 19,4262
ZINC,17 Sep 19,188
NICKEL,17 Sep 19,1270.6
COPPER,17 Sep 19,449.5
LEAD,17 Sep 19,159.5
COTTON,17 Sep 19,20240
GOLD,18 Sep 19,37542
SILVER,18 Sep 19,45709
NATURALGAS,18 Sep 19,188.1
ALUMINIUM,18 Sep 19,143.75
CRUDEOIL,18 Sep 19,4144
ZINC,18 Sep 19,188.25
NICKEL,18 Sep 19,1271.3
COPPER,18 Sep 19,445.6
LEAD,18 Sep 19,157.85
COTTON,18 Sep 19,20200
GOLD,19 Sep 19,37456
SILVER,19 Sep 19,45455
NATURALGAS,19 Sep 19,180.5
ALUMINIUM,19 Sep 19,142.05
CRUDEOIL,19 Sep 19,4135
ZINC,19 Sep 19,186.2
NICKEL,19 Sep 19,1264.3
COPPER,19 Sep 19,442.7
LEAD,19 Sep 19,159.8
COTTON,19 Sep 19,20160
GOLD,20 Sep 19,37390
SILVER,20 Sep 19,45686
NATURALGAS,20 Sep 19,179.8
ALUMINIUM,20 Sep 19,143.25
CRUDEOIL,20 Sep 19,4121
ZINC,20 Sep 19,186.6
NICKEL,20 Sep 19,1293.9
COPPER,20 Sep 19,446.3
LEAD,20 Sep 19,159.5
COTTON,20 Sep 19,20040
GOLD,23 Sep 19,37743
SILVER,23 Sep 19,46800
NATURALGAS,23 Sep 19,179.2
ALUMINIUM,23 Sep 19,143.05
CRUDEOIL,23 Sep 19,4159
ZINC,23 Sep 19,185.4
NICKEL,23 Sep 19,1297.4
COPPER,23 Sep 19,439.6
LEAD,23 Sep 19,157.95
COTTON,23 Sep 19,20000
GOLD,24 Sep 19,37771
SILVER,24 Sep 19,47352
NATURALGAS,24 Sep 19,177.3
ALUMINIUM,24 Sep 19,142.05
CRUDEOIL,24 Sep 19,4059
ZINC,24 Sep 19,185.4
NICKEL,24 Sep 19,1266.9
COPPER,24 Sep 19,441.85
LEAD,24 Sep 19,158
COTTON,24 Sep 19,19910
GOLD,25 Sep 19,38006
SILVER,25 Sep 19,47375
NATURALGAS,25 Sep 19,177.7
ALUMINIUM,25 Sep 19,142.2
CRUDEOIL,25 Sep 19,4013
ZINC,25 Sep 19,183
NICKEL,25 Sep 19,1268.6
COPPER,25 Sep 19,440.2
LEAD,25 Sep 19,158
COTTON,25 Sep 19,19790
GOLD,26 Sep 19,37622
SILVER,26 Sep 19,45869
NATURALGAS,26 Sep 19,173.2
ALUMINIUM,26 Sep 19,141.35
CRUDEOIL,26 Sep 19,4000
ZINC,26 Sep 19,185
NICKEL,26 Sep 19,1263.7
COPPER,26 Sep 19,439.3
LEAD,26 Sep 19,159
COTTON,26 Sep 19,19750
GOLD,27 Sep 19,37481
SILVER,27 Sep 19,44604
NATURALGAS,27 Sep 19,170.3
ALUMINIUM,27 Sep 19,140.5
CRUDEOIL,27 Sep 19,3961
ZINC,27 Sep 19,186.7
NICKEL,27 Sep 19,1272
COPPER,27 Sep 19,438.7
LEAD,27 Sep 19,159
COTTON,27 Sep 19,19660
GOLD,30 Sep 19,37475
SILVER,30 Sep 19,44190
NATURALGAS,30 Sep 19,164.7
ALUMINIUM,30 Sep 19,138.4
CRUDEOIL,30 Sep 19,3822
ZINC,30 Sep 19,184.8
NICKEL,30 Sep 19,1271.6
COPPER,30 Sep 19,440.6
LEAD,30 Sep 19,157.8
COTTON,30 Sep 19,19910
GOLD,1 Oct 19,37201
SILVER,1 Oct 19,44139
ALUMINIUM,1 Oct 19,139.6
ZINC,1 Oct 19,189.5
NICKEL,1 Oct 19,1258.2
COPPER,1 Oct 19,436
LEAD,1 Oct 19,156.5
COTTON,1 Oct 19,19780
GOLD,3 Oct 19,37919
SILVER,3 Oct 19,45135
NATURALGAS,3 Oct 19,165.6
